id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,13,40,20,2,"[9, 5]",1,4,0.537
2,Clifford+T,13,40,20,2,"[11, 3]",1,4,0.529
3,Clifford+T,13,40,20,2,"[4, 8]",1,4,0.514
4,Clifford+T,13,40,20,2,"[11, 2]",1,4,0.525
5,Clifford+T,13,40,20,2,"[11, 2]",1,4,0.505
6,Clifford+T,13,40,20,2,"[12, 2]",1,4,0.56
7,Clifford+T,13,40,20,2,"[5, 8]",1,4,0.439
8,Clifford+T,13,40,20,2,"[7, 7]",1,4,0.444
9,Clifford+T,13,40,20,2,"[11, 2]",1,4,0.631
10,Clifford+T,13,40,20,2,"[6, 8]",1,4,0.523
