id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.905
2,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.987
3,QuantumVolume,7,231,42,2,"[2, 4]",2,16,4.713
4,Clifford+T,7,40,20,2,"[5, 4]",2,16,0.607
5,QuantumVolume,7,232,43,2,"[4, 5]",2,16,2.539
6,HEA,7,62,20,2,"[4, 5]",2,16,0.803
7,QuantumVolume,7,231,42,2,"[2, 5]",2,16,2.369
8,Clifford+T,7,40,20,2,"[6, 3]",2,16,0.571
9,QuantumVolume,7,233,44,2,"[4, 5]",2,16,2.622
10,Clifford+T,7,40,20,2,"[6, 3]",2,16,0.512
