id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,13,40,20,2,"[12, 2]",1,4,0.739
2,Clifford+T,13,40,20,2,"[9, 5]",1,4,0.696
3,Clifford+T,13,40,20,2,"[6, 8]",1,4,0.645
4,Clifford+T,13,40,20,2,"[11, 3]",1,4,0.62
5,Clifford+T,13,40,20,2,"[3, 11]",1,4,0.61
6,Clifford+T,13,40,20,2,"[9, 6]",2,16,0.619
7,Clifford+T,13,40,20,2,"[9, 5]",1,4,0.591
8,Clifford+T,13,40,20,2,"[4, 8]",1,4,0.606
9,Clifford+T,13,40,20,2,"[8, 5]",1,4,0.58
10,Clifford+T,13,40,20,2,"[10, 4]",2,16,0.69
