circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_002,16,ZIIIIIIIIIIIIIII,cut_divided_budget,10000,aer.fake_sherbrooke,0.9999999999999998,0.9727744000000003,0.027225599999999517,0.005225599999994612,22.59338897932321,10000,10000,0,2,8,10000,10000,1250,1250,1250,1250,[1250-1250-1250-1250-1250-1250-1250-1250]
0_Clifford+T_002,16,ZIIIIIIIIIIIIIII,cut_incremental_budget,10000,aer.fake_sherbrooke,0.9999999999999998,0.9851714285714285,0.014828571428571302,0.007171428571433602,218.00778560200706,10000,7600,2400,2,8,10000,7600,1250,1250,600,1200,[1100-1000-1150-1200-700-600-800-1050]
0_Clifford+T_002,16,ZIIIIIIIIIIIIIII,cut_incremental_qubit_prop,10000,aer.fake_sherbrooke,0.9999999999999998,0.9792134364725802,0.020786563527419588,0.0012134364725853164,245.99332819413394,10000,7750,2250,2,8,10000,7750,1176,1324,650,1300,[1100-1150-1150-1300-750-650-950-700]
0_Clifford+T_002,16,ZIIIIIIIIIIIIIII,cut_qubit_prop,10000,aer.fake_sherbrooke,0.9999999999999998,0.9781480568058044,0.021851943194195367,0.00014805680580953773,14.18759887618944,10000,10000,0,2,8,10000,10000,1176,1324,1176,1324,[1324-1324-1324-1324-1176-1176-1176-1176]
0_Clifford+T_002,16,ZIIIIIIIIIIIIIII,noisy_vanilla,10000,aer.fake_sherbrooke,0.9999999999999998,0.9779999999999949,0.022000000000004905,0.9779999999999949,57.23706392291933,10000,10000,0,,,,,,,,,
1_Clifford+T_008,16,ZIIIIIIIIIIIIIII,cut_divided_budget,10000,aer.fake_sherbrooke,-0.9999999999999992,-0.9549888000000001,0.04501119999999914,0.021011199999990682,23.91092140879482,10000,10000,0,2,8,10000,10000,1250,1250,1250,1250,[1250-1250-1250-1250-1250-1250-1250-1250]
1_Clifford+T_008,16,ZIIIIIIIIIIIIIII,cut_incremental_budget,10000,aer.fake_sherbrooke,-0.9999999999999992,-0.9525413109243709,0.047458689075628335,0.023458689075619876,279.73854687809944,10000,8150,1850,2,8,10000,8150,1250,1250,700,1250,[1250-1250-1250-1250-700-700-850-900]
1_Clifford+T_008,16,ZIIIIIIIIIIIIIII,cut_incremental_qubit_prop,10000,aer.fake_sherbrooke,-0.9999999999999992,-0.9569126629827359,0.043087337017263305,0.019087337017254846,290.24321617605165,10000,8800,1200,2,8,10000,8800,937,1563,650,1563,[1200-1300-1563-1563-650-650-937-937]
1_Clifford+T_008,16,ZIIIIIIIIIIIIIII,cut_qubit_prop,10000,aer.fake_sherbrooke,-0.9999999999999992,-0.9620028527904161,0.03799714720958314,0.013997147209574679,14.614719567354769,10000,10000,0,2,8,10000,10000,937,1563,937,1563,[1563-1563-1563-1563-937-937-937-937]
1_Clifford+T_008,16,ZIIIIIIIIIIIIIII,noisy_vanilla,10000,aer.fake_sherbrooke,-0.9999999999999992,-0.9759999999999908,0.02400000000000846,0.9759999999999908,46.35380058269948,10000,10000,0,,,,,,,,,
2_Clifford+T_015,16,ZIIIIIIIIIIIIIII,cut_divided_budget,10000,aer.fake_sherbrooke,-0.9999999999999991,-0.9679488000000022,0.03205119999999695,0.009651199999987314,22.11105987103656,10000,10000,0,2,8,10000,10000,1250,1250,1250,1250,[1250-1250-1250-1250-1250-1250-1250-1250]
2_Clifford+T_015,16,ZIIIIIIIIIIIIIII,cut_incremental_budget,10000,aer.fake_sherbrooke,-0.9999999999999991,-0.9599349333333363,0.04006506666666276,0.01766506666665313,220.08144506486133,10000,6900,3100,2,8,10000,6900,1250,1250,400,1250,[1250-1250-1250-1250-550-400-450-500]
2_Clifford+T_015,16,ZIIIIIIIIIIIIIII,cut_incremental_qubit_prop,10000,aer.fake_sherbrooke,-0.9999999999999991,-0.9617319219821845,0.03826807801781462,0.015868078017804987,324.90537563012913,10000,9983,17,2,8,10000,9983,333,2167,333,2167,[2150-2167-2167-2167-333-333-333-333]
2_Clifford+T_015,16,ZIIIIIIIIIIIIIII,cut_qubit_prop,10000,aer.fake_sherbrooke,-0.9999999999999991,-0.964759406383774,0.03524059361622511,0.012840593616215479,15.50484378542751,10000,10000,0,2,8,10000,10000,333,2167,333,2167,[2167-2167-2167-2167-333-333-333-333]
2_Clifford+T_015,16,ZIIIIIIIIIIIIIII,noisy_vanilla,10000,aer.fake_sherbrooke,-0.9999999999999991,-0.9775999999999895,0.022400000000009634,0.9775999999999895,33.03304652776569,10000,10000,0,,,,,,,,,
3_Clifford+T_016,16,ZIIIIIIIIIIIIIII,cut_divided_budget,10000,aer.fake_sherbrooke,0.9999999999999996,0.9599539200000002,0.04004607999999932,0.014646079999994899,24.721996106673032,10000,10000,0,2,8,10000,10000,1250,1250,1250,1250,[1250-1250-1250-1250-1250-1250-1250-1250]
3_Clifford+T_016,16,ZIIIIIIIIIIIIIII,cut_incremental_budget,10000,aer.fake_sherbrooke,0.9999999999999996,0.9483050498796006,0.05169495012039893,0.02629495012039451,255.44129768991843,10000,7100,2900,2,8,10000,7100,1250,1250,750,1000,[800-900-1000-950-750-950-900-850]
3_Clifford+T_016,16,ZIIIIIIIIIIIIIII,cut_incremental_qubit_prop,10000,aer.fake_sherbrooke,0.9999999999999996,0.9619391069061649,0.03806089309383465,0.012660893093830228,262.72463935799897,10000,7400,2600,2,8,10000,7400,1176,1324,650,1100,[900-650-1100-1100-800-850-1000-1000]
3_Clifford+T_016,16,ZIIIIIIIIIIIIIII,cut_qubit_prop,10000,aer.fake_sherbrooke,0.9999999999999996,0.9627468812298334,0.03725311877016613,0.011853118770161708,24.712708435952663,10000,10000,0,2,8,10000,10000,1176,1324,1176,1324,[1176-1176-1176-1176-1324-1324-1324-1324]
3_Clifford+T_016,16,ZIIIIIIIIIIIIIII,noisy_vanilla,10000,aer.fake_sherbrooke,0.9999999999999996,0.9745999999999951,0.02540000000000442,0.9745999999999951,35.47810156084597,10000,10000,0,,,,,,,,,
