circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_001,10,ZIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,-0.9999999999999993,-1.0149862399999998,0.014986240000000484,0.03528623999999958,195.2043236992322,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_budget,aer.fake_sherbrooke,-0.9999999999999993,-1.0534201600000006,0.05342016000000127,0.07372016000000037,948.8513581100851,20000,19725,275,2,32,20000,19725,625,625,500,625,[600-600-625-625-550-600-625-625-625-625-625-500-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_qubit_prop,aer.fake_sherbrooke,-0.9999999999999993,-1.0198308107241854,0.01983081072418602,0.04013081072418512,703.5879708919674,20000,20000,0,2,32,20000,20000,313,937,313,937,[313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937]
0_Clifford+T_001,10,ZIIIIIIIII,cut_qubit_prop,aer.fake_sherbrooke,-0.9999999999999993,-0.9919326516208006,0.008067348379198758,0.012232651620800339,88.16539590898901,20000,20000,0,2,32,20000,20000,313,937,313,937,[313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937]
0_Clifford+T_001,10,ZIIIIIIIII,noisy_vanilla,aer.fake_sherbrooke,-0.9999999999999993,-0.9797000000000002,0.020299999999999097,0.9797000000000002,14.531047507654876,20000,20000,0,,,,,,,,,
1_Clifford+T_004,10,ZIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,0.0,-0.0004419199999999527,0.0004419199999999527,0.005941919999999945,43.00555303506553,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_budget,aer.fake_sherbrooke,0.0,-0.0154931998665332,0.0154931998665332,0.020993199866533193,368.2804684881121,20000,9850,10150,2,8,20000,9850,2500,2500,400,2250,[400-400-450-450-1800-1850-2250-2250]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_qubit_prop,aer.fake_sherbrooke,0.0,-0.011605905395417573,0.011605905395417573,0.017105905395417564,404.60772277228534,20000,10050,9950,2,8,20000,10050,909,4091,400,2250,[400-400-550-400-1800-2050-2250-2200]
1_Clifford+T_004,10,ZIIIIIIIII,cut_qubit_prop,aer.fake_sherbrooke,0.0,6.050470605605449e-05,6.050470605605449e-05,0.0054394952939439386,23.18946845177561,20000,20000,0,2,8,20000,20000,909,4091,909,4091,[909-909-909-909-4091-4091-4091-4091]
1_Clifford+T_004,10,ZIIIIIIIII,noisy_vanilla,aer.fake_sherbrooke,0.0,0.005499999999999993,0.005499999999999993,0.005499999999999993,2.009037133306265,20000,20000,0,,,,,,,,,
2_Clifford+T_008,10,ZIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,0.9999999999999997,0.9544473600000001,0.04555263999999959,0.020452639999999356,70.04546267585829,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
