circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,0.0,0.023856000000000068,0.023856000000000068,0.03485600000000003,36.8538085189648,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_budget,aer.fake_sherbrooke,0.0,-0.01788057551487417,0.01788057551487417,0.006880575514874204,504.49126714700833,20000,18200,1800,2,8,20000,18200,2500,2500,1600,2500,[2500-2500-2500-2500-2400-2300-1600-1900]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,aer.fake_sherbrooke,0.0,0.006249159111111039,0.006249159111111039,0.017249159111111006,545.3799324049614,20000,19750,250,2,8,20000,19750,1875,3125,1700,3125,[3125-3125-3125-3125-1700-1875-1800-1875]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_qubit_prop,aer.fake_sherbrooke,0.0,0.004054186666666636,0.004054186666666636,0.015054186666666603,25.371400815900415,20000,20000,0,2,8,20000,20000,1875,3125,1875,3125,[3125-3125-3125-3125-1875-1875-1875-1875]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,aer.fake_sherbrooke,0.0,-0.010999999999999966,0.010999999999999966,0.010999999999999966,48.91514492593706,20000,20000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,0.9999999999999991,0.978432,0.021567999999999143,0.0020320000000092486,34.89748226106167,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_budget,aer.fake_sherbrooke,0.9999999999999991,0.9783167999999995,0.02168319999999957,0.0019168000000088226,490.80149753112346,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,aer.fake_sherbrooke,0.9999999999999991,0.9784662983655336,0.021533701634465552,0.00206629836554284,482.5452070017345,20000,20000,0,2,8,20000,20000,2187,2813,2187,2813,[2813-2813-2813-2813-2187-2187-2187-2187]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_qubit_prop,aer.fake_sherbrooke,0.9999999999999991,0.9731311496967426,0.026868850303256475,0.003268850303248083,16.868787281680852,20000,20000,0,2,8,20000,20000,2187,2813,2187,2813,[2813-2813-2813-2813-2187-2187-2187-2187]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,aer.fake_sherbrooke,0.9999999999999991,0.9763999999999907,0.023600000000008392,0.9763999999999907,76.51585245504975,20000,20000,0,,,,,,,,,
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_divided_budget,aer.fake_sherbrooke,0.9999999999999993,0.9775836799999994,0.022416319999999934,0.0011836800000024628,29.057872917037457,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_budget,aer.fake_sherbrooke,0.9999999999999993,0.9720326399999988,0.027967360000000552,0.004367359999998155,383.43274553399533,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
