circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_002,5,ZIIII,cut_divided_budget,aer.fake_torino,-0.9999999999999996,-0.85876224,0.14123775999999955,0.19236224000000002,148.86844743601978,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_002,5,ZIIII,cut_incremental_budget,aer.fake_torino,-0.9999999999999996,-0.9533817480359147,0.04661825196408487,0.2869817480359147,960.2120912512764,20000,14225,5775,2,32,20000,14225,625,625,400,625,[400-400-450-450-400-400-400-450-400-400-450-400-400-400-400-400-400-400-500-450-450-400-500-450-450-500-450-600-400-550-625-500]
0_Clifford+T_002,5,ZIIII,cut_incremental_qubit_prop,aer.fake_torino,-0.9999999999999996,-0.8741046686433156,0.12589533135668396,0.2077046686433156,907.8595153931528,20000,14736,5264,2,32,20000,14736,536,714,400,550,[450-400-450-500-450-400-450-400-450-400-450-536-450-450-500-450-400-450-400-450-400-450-500-550-450-450-500-550-450-450-550-550]
0_Clifford+T_002,5,ZIIII,cut_qubit_prop,aer.fake_torino,-0.9999999999999996,-0.8922927379907185,0.10770726200928105,0.22589273799071852,123.14764383202419,20000,20000,0,2,32,20000,20000,536,714,536,714,[536-536-536-536-536-536-536-536-536-536-536-536-536-536-536-536-714-714-714-714-714-714-714-714-714-714-714-714-714-714-714-714]
0_Clifford+T_002,5,ZIIII,noisy_vanilla,aer.fake_torino,-0.9999999999999996,-0.6664,0.33359999999999956,0.6664,4.119726112112403,20000,20000,0,,,,,,,,,
1_Clifford+T_005,5,ZIIII,cut_divided_budget,aer.fake_torino,0.0,-0.00020991999999992947,0.00020991999999992947,0.01410991999999992,113.86327711632475,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
1_Clifford+T_005,5,ZIIII,cut_incremental_budget,aer.fake_torino,0.0,0.08135076835016836,0.08135076835016836,0.06745076835016836,1614.8780007986352,20000,16750,3250,2,32,20000,16750,625,625,400,625,[600-550-600-550-500-400-600-500-600-600-500-600-625-600-450-625-450-500-550-500-500-450-550-500-500-450-550-500-500-400-500-450]
1_Clifford+T_005,5,ZIIII,cut_incremental_qubit_prop,aer.fake_torino,0.0,0.019503869734466737,0.019503869734466737,0.005603869734466747,1428.6466845101677,20000,16266,3734,2,32,20000,16266,536,714,400,650,[500-600-550-500-450-400-550-550-500-650-550-600-650-550-500-600-400-536-500-536-450-400-536-536-450-536-450-536-400-400-450-450]
1_Clifford+T_005,5,ZIIII,cut_qubit_prop,aer.fake_torino,0.0,0.07389784271917717,0.07389784271917717,0.05999784271917718,152.6169522400014,20000,20000,0,2,32,20000,20000,536,714,536,714,[714-714-714-714-714-714-714-714-714-714-714-714-714-714-714-714-536-536-536-536-536-536-536-536-536-536-536-536-536-536-536-536]
1_Clifford+T_005,5,ZIIII,noisy_vanilla,aer.fake_torino,0.0,0.01389999999999999,0.01389999999999999,0.01389999999999999,3.063535287976265,20000,20000,0,,,,,,,,,
