circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_kawasaki,0.0,0.025722239999999952,0.025722239999999952,0.034922239999999945,31.822167154983617,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_kawasaki,0.0,-0.06594730158730165,0.06594730158730165,0.05674730158730166,224.62260042101843,20000,5200,14800,2,8,20000,5200,2500,2500,400,1000,[750-700-900-1000-500-500-400-450]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_kawasaki,0.0,-0.036300108225108145,0.036300108225108145,0.027100108225108152,244.453270833008,20000,5650,14350,2,8,20000,5650,1875,3125,400,1100,[800-800-1050-1100-550-500-400-450]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_kawasaki,0.0,-0.003446271999999963,0.003446271999999963,0.005753728000000028,20.028832499985583,20000,20000,0,2,8,20000,20000,1875,3125,1875,3125,[3125-3125-3125-3125-1875-1875-1875-1875]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kawasaki,0.0,-0.009199999999999991,0.009199999999999991,0.009199999999999991,657.54586844804,20000,20000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_kawasaki,0.9999999999999991,0.93250432,0.06749567999999906,0.004104320000004935,23.55855405901093,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_kawasaki,0.9999999999999991,0.928431340795428,0.07156865920457112,3.1340795432877044e-05,265.8121581550222,20000,6150,13850,2,8,20000,6150,2500,2500,600,950,[850-850-950-950-650-650-650-600]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999991,0.9173653113553103,0.08263468864468881,0.01103468864468482,273.57496851996984,20000,6300,13700,2,8,20000,6300,2187,2813,600,1000,[900-850-1000-1000-600-700-600-650]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999991,0.9295354656047742,0.07046453439522493,0.0011354656047790623,17.015169642982073,20000,20000,0,2,8,20000,20000,2187,2813,2187,2813,[2813-2813-2813-2813-2187-2187-2187-2187]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kawasaki,0.9999999999999991,0.9283999999999951,0.071600000000004,0.9283999999999951,600.2451615050086,20000,20000,0,,,,,,,,,
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_kawasaki,0.9999999999999993,0.9791513599999997,0.02084863999999964,0.050751360000001244,41.69686298898887,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_kawasaki,0.9999999999999993,0.9817666666666661,0.018233333333333213,0.05336666666666767,243.39410868403502,20000,5550,14450,2,8,20000,5550,2500,2500,500,900,[500-550-600-650-800-650-900-900]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999993,0.9725545616488771,0.02744543835112223,0.044154561648878654,250.84530450002057,20000,5750,14250,2,8,20000,5750,1563,3437,500,950,[500-550-750-650-750-800-800-950]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999993,0.9792078638414413,0.020792136158558017,0.05080786384144287,30.60634708899306,20000,20000,0,2,8,20000,20000,1563,3437,1563,3437,[1563-1563-1563-1563-3437-3437-3437-3437]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kawasaki,0.9999999999999993,0.9283999999999984,0.07160000000000089,0.9283999999999984,710.9535377449938,20000,20000,0,,,,,,,,,
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_kawasaki,0.9999999999999991,0.9774387200000004,0.022561279999998685,0.048038720000002755,77.99516071402468,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_kawasaki,0.9999999999999991,0.9734509866666675,0.026549013333331595,0.044050986666669845,893.9843261929927,20000,19900,100,2,32,20000,19900,625,625,600,625,[600-625-625-625-600-600-625-625-625-625-625-625-600-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999991,0.9894099200000005,0.010590079999998614,0.060009920000002825,696.0689717059722,20000,19625,375,2,32,20000,19625,625,625,450,625,[600-600-625-600-500-450-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999991,0.9998259200000006,0.00017407999999852208,0.07042592000000292,66.33728736196645,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kawasaki,0.9999999999999991,0.9293999999999977,0.07060000000000144,0.9293999999999977,650.9807393060182,20000,20000,0,,,,,,,,,
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_kawasaki,0.9999999999999996,0.9935872000000002,0.00641279999999933,0.06358720000000107,27.89478216797579,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_kawasaki,0.9999999999999996,0.9972079691876752,0.0027920308123243753,0.06720796918767602,202.75620942004025,20000,4700,15300,2,8,20000,4700,2500,2500,400,850,[700-600-800-850-400-400-500-450]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_kawasaki,0.9999999999999996,0.9866905820105818,0.01330941798941776,0.056690582010582635,180.30503140197834,20000,5100,14900,2,8,20000,5100,2000,3000,450,900,[750-700-750-900-450-450-600-500]
