circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.0,0.023856000000000068,0.023856000000000068,0.03485600000000002,18.6658615199849,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_sherbrooke,0.0,-0.04015545935545932,0.04015545935545932,0.029155459355459372,190.0086971379933,20000,7050,12950,2,8,20000,7050,2500,2500,450,1450,[1200-1100-1450-1400-500-500-450-450]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_sherbrooke,0.0,-0.042921957671957646,0.042921957671957646,0.0319219576719577,218.24990314699244,20000,7000,13000,2,8,20000,7000,1875,3125,450,1400,[1200-1100-1400-1350-550-450-450-500]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_sherbrooke,0.0,0.004054186666666636,0.004054186666666636,0.015054186666666585,11.331343972997274,20000,20000,0,2,8,20000,20000,1875,3125,1875,3125,[3125-3125-3125-3125-1875-1875-1875-1875]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_sherbrooke,0.0,-0.010999999999999949,0.010999999999999949,0.010999999999999949,446.83501738501946,20000,20000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.9999999999999991,0.978432,0.021567999999999143,0.0020320000000096927,23.52696697699139,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_sherbrooke,0.9999999999999991,0.9820060481218118,0.01799395187818731,0.0056060481218215275,309.00153719302034,20000,7150,12850,2,8,20000,7150,2500,2500,650,1250,[900-850-1250-1050-900-650-800-750]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999991,0.9656785005105708,0.03432149948942831,0.010721499489419473,298.32775053504156,20000,6950,13050,2,8,20000,6950,2187,2813,650,1150,[900-900-1000-1150-650-700-850-800]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999991,0.9731311496967426,0.026868850303256475,0.003268850303247639,16.440535637026187,20000,20000,0,2,8,20000,20000,2187,2813,2187,2813,[2813-2813-2813-2813-2187-2187-2187-2187]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_sherbrooke,0.9999999999999991,0.9763999999999903,0.023600000000008836,0.9763999999999903,583.93159357697,20000,20000,0,,,,,,,,,
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.9999999999999993,0.9775836799999994,0.022416319999999934,0.001183680000003129,25.15901246498106,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_sherbrooke,0.9999999999999993,0.9830638564070957,0.01693614359290363,0.006663856407099433,203.2786321400199,20000,6550,13450,2,8,20000,6550,2500,2500,500,1150,[500-550-600-600-1100-1050-1150-1000]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999993,0.975402016168785,0.024597983831214365,0.000997983831211302,279.29049990995554,20000,6900,13100,2,8,20000,6900,1563,3437,500,1150,[500-600-800-700-1050-1050-1050-1150]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999993,0.9785075700419462,0.021492429958053116,0.0021075700419499466,17.016574440000113,20000,20000,0,2,8,20000,20000,1563,3437,1563,3437,[1563-1563-1563-1563-3437-3437-3437-3437]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_sherbrooke,0.9999999999999993,0.9763999999999963,0.023600000000003063,0.9763999999999963,582.6145560209989,20000,20000,0,,,,,,,,,
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.9999999999999991,0.9438438400000002,0.0561561599999989,0.03395615999999346,54.021170623018406,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
