circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_001,10,ZIIIIIIIII,cut_divided_budget,20000,aer.fake_torino,-0.9999999999999993,-0.6506060800000003,0.349393919999999,0.015193920000000638,104.53941192105412,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_budget,20000,aer.fake_torino,-0.9999999999999993,-0.6726769648484849,0.3273230351515144,0.006876964848483991,1282.630654838984,20000,19000,1000,2,32,20000,19000,625,625,450,625,[550-600-550-550-550-625-450-600-600-450-500-600-550-600-625-600-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_torino,-0.9999999999999993,-0.7507105733541061,0.24928942664589326,0.08491057335410512,1480.9073433590238,20000,19004,996,2,32,20000,19004,313,937,313,937,[313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-750-700-937-937-750-750-900-900-850-937-937-937-937-900-937-937]
0_Clifford+T_001,10,ZIIIIIIIII,cut_qubit_prop,20000,aer.fake_torino,-0.9999999999999993,-0.6420156777970618,0.3579843222029375,0.023784322202939134,90.87118630897021,20000,20000,0,2,32,20000,20000,313,937,313,937,[313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-313-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937-937]
0_Clifford+T_001,10,ZIIIIIIIII,noisy_vanilla,20000,aer.fake_torino,-0.9999999999999993,-0.665800000000001,0.3341999999999984,0.665800000000001,3.4653623640188016,20000,20000,0,,,,,,,,,
1_Clifford+T_004,10,ZIIIIIIIII,cut_divided_budget,20000,aer.fake_torino,0.0,0.0041472,0.0041472,0.00965279999999998,43.39984981802991,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_budget,20000,aer.fake_torino,0.0,-0.0307210936819172,0.0307210936819172,0.04452109368191718,624.6626466489979,20000,7650,12350,2,8,20000,7650,2500,2500,400,1700,[400-550-400-400-1350-1250-1600-1700]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_torino,0.0,0.012069798951048951,0.012069798951048951,0.0017302010489510296,595.6276833320153,20000,7450,12550,2,8,20000,7450,909,4091,400,1650,[400-400-400-400-1300-1300-1600-1650]
1_Clifford+T_004,10,ZIIIIIIIII,cut_qubit_prop,20000,aer.fake_torino,0.0,-0.005605962698445382,0.005605962698445382,0.019405962698445363,32.649968995014206,20000,20000,0,2,8,20000,20000,909,4091,909,4091,[909-909-909-909-4091-4091-4091-4091]
1_Clifford+T_004,10,ZIIIIIIIII,noisy_vanilla,20000,aer.fake_torino,0.0,0.01379999999999998,0.01379999999999998,0.01379999999999998,5.215416865947191,20000,20000,0,,,,,,,,,
