circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_001,10,ZIIIIIIIII,cut_divided_budget,5000,aer.fake_kyoto,-0.9999999999999993,-0.7273008036114357,0.27269919638856366,0.04810080361143587,96.73874830198474,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_budget,5000,aer.fake_kyoto,-0.9999999999999993,-0.6929054803871069,0.30709451961289247,0.01370548038710706,216.36488667002413,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
0_Clifford+T_001,10,ZIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_kyoto,-0.9999999999999993,-0.6407533304423648,0.3592466695576345,0.03844666955763498,288.943371211004,5000,5000,0,2,32,5000,5000,78,235,78,235,[78-78-78-78-78-78-78-78-78-78-78-78-78-78-78-78-235-235-235-235-235-235-235-235-234-234-234-234-234-234-234-234]
0_Clifford+T_001,10,ZIIIIIIIII,cut_qubit_prop,5000,aer.fake_kyoto,-0.9999999999999993,-0.7056812194291736,0.2943187805708257,0.026481219429173808,78.92069927696139,5000,5000,0,2,32,5000,5000,78,235,78,235,[78-78-78-78-78-78-78-78-78-78-78-78-78-78-78-78-235-235-235-235-235-235-235-235-234-234-234-234-234-234-234-234]
0_Clifford+T_001,10,ZIIIIIIIII,noisy_vanilla,5000,aer.fake_kyoto,-0.9999999999999993,-0.6791999999999998,0.32079999999999953,0.6791999999999998,2.416520790022332,5000,5000,0,,,,,,,,,
1_Clifford+T_004,10,ZIIIIIIIII,cut_divided_budget,5000,aer.fake_kyoto,0.0,0.042754560000000046,0.042754560000000046,0.021554560000000077,32.97871256101644,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_budget,5000,aer.fake_kyoto,0.0,-0.016127999999999997,0.016127999999999997,0.037327999999999965,194.8482617539703,5000,4250,750,2,8,5000,4250,625,625,400,625,[400-550-400-400-625-625-625-625]
1_Clifford+T_004,10,ZIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_kyoto,0.0,0.010606275918198588,0.010606275918198588,0.01059372408180138,272.8618566779769,5000,5000,0,2,8,5000,5000,227,1023,227,1023,[227-227-227-227-1023-1023-1023-1023]
1_Clifford+T_004,10,ZIIIIIIIII,cut_qubit_prop,5000,aer.fake_kyoto,0.0,0.02015752236016552,0.02015752236016552,0.0010424776398344493,21.415490964020137,5000,5000,0,2,8,5000,5000,227,1023,227,1023,[227-227-227-227-1023-1023-1023-1023]
1_Clifford+T_004,10,ZIIIIIIIII,noisy_vanilla,5000,aer.fake_kyoto,0.0,0.02119999999999997,0.02119999999999997,0.02119999999999997,3.5778494349797256,5000,5000,0,,,,,,,,,
