circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.0,0.023856000000000068,0.023856000000000068,0.03485600000000002,18.768522446975112,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_sherbrooke,0.0,-0.03604704043246182,0.03604704043246182,0.02504704043246187,258.66829574800795,20000,9500,10500,2,8,20000,9500,2500,2500,400,2150,[1450-1750-2050-2150-550-550-400-600]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_sherbrooke,0.0,-0.016958006463055657,0.016958006463055657,0.005958006463055708,347.1283863770077,20000,9750,10250,2,8,20000,9750,1875,3125,450,2150,[1600-1550-2150-2050-450-550-600-800]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_sherbrooke,0.0,0.004054186666666636,0.004054186666666636,0.015054186666666585,11.567958122992422,20000,20000,0,2,8,20000,20000,1875,3125,1875,3125,[3125-3125-3125-3125-1875-1875-1875-1875]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_sherbrooke,0.0,-0.010999999999999949,0.010999999999999949,0.010999999999999949,474.39288697601296,20000,20000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_divided_budget,20000,aer.fake_sherbrooke,0.9999999999999991,0.978432,0.021567999999999143,0.0020320000000096927,26.910524720035028,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_budget,20000,aer.fake_sherbrooke,0.9999999999999991,0.9787171967956273,0.021282803204371814,0.002317196795637022,419.593629134004,20000,9650,10350,2,8,20000,9650,2500,2500,850,1500,[1200-1350-1400-1500-850-1000-1150-1200]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999991,0.9677645913513836,0.032235408648615516,0.00863540864860668,426.72035311796935,20000,9750,10250,2,8,20000,9750,2187,2813,850,1500,[1450-1450-1500-1450-850-900-1000-1150]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_qubit_prop,20000,aer.fake_sherbrooke,0.9999999999999991,0.9731311496967426,0.026868850303256475,0.003268850303247639,16.7313264060067,20000,20000,0,2,8,20000,20000,2187,2813,2187,2813,[2813-2813-2813-2813-2187-2187-2187-2187]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_sherbrooke,0.9999999999999991,0.9763999999999903,0.023600000000008836,0.9763999999999903,580.0417467130465,20000,20000,0,,,,,,,,,
