circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.0,-0.04532991999999997,0.04532991999999997,0.07012991999999989,45.957201907993294,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.0,-0.04924615111111121,0.04924615111111121,0.07404615111111114,395.4027156759985,5000,4825,175,2,8,5000,4825,625,625,450,625,[625-625-625-625-625-625-450-625]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.0,-0.023878194540376593,0.023878194540376593,0.048678194540376515,340.9206271790317,5000,4931,69,2,8,5000,4931,469,781,400,781,[781-781-781-781-469-469-400-469]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.0,0.06026662007322095,0.06026662007322095,0.03546662007322103,34.51127328997245,5000,5000,0,2,8,5000,5000,469,781,469,781,[781-781-781-781-469-469-469-469]
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.0,0.024799999999999923,0.024799999999999923,0.024799999999999923,155.74653158400906,5000,5000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.9999999999999991,0.64371968,0.3562803199999991,0.01268031999999819,25.639263973978814,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.9999999999999991,0.6622694400000004,0.3377305599999987,0.005869440000002224,389.69411819794914,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.9999999999999991,0.6726226852273222,0.32737731477267695,0.016222685227323952,372.9833448319696,5000,5000,0,2,8,5000,5000,547,703,547,703,[703-703-703-703-547-547-547-547]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.9999999999999991,0.6846214057798774,0.3153785942201217,0.028221405779879194,19.956176810024772,5000,5000,0,2,8,5000,5000,547,703,547,703,[703-703-703-703-547-547-547-547]
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.9999999999999991,0.6563999999999982,0.3436000000000009,0.6563999999999982,83.02018672699342,5000,5000,0,,,,,,,,,
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.9999999999999993,0.9703705600000004,0.029629439999998897,0.3139705600000018,28.17869073501788,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.9999999999999993,0.967457280000001,0.03254271999999836,0.3110572800000023,309.10884063196136,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.9999999999999993,0.9666060279454198,0.0333939720545795,0.3102060279454212,427.3586857179762,5000,5000,0,2,8,5000,5000,391,859,391,859,[391-391-391-391-859-859-859-859]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.9999999999999993,0.9690653201099242,0.030934679890075145,0.31266532010992554,22.942510091001168,5000,5000,0,2,8,5000,5000,391,859,391,859,[391-391-391-391-859-859-859-859]
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.9999999999999993,0.6563999999999987,0.3436000000000007,0.6563999999999987,85.38482916000066,5000,5000,0,,,,,,,,,
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.9999999999999991,0.8668387793816504,0.13316122061834867,0.18243877938165098,145.7048823449877,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.9999999999999991,0.889500810311687,0.11049918968831207,0.2051008103116876,499.90386992297135,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.9999999999999991,0.8680149876254721,0.13198501237452698,0.18361498762547268,513.1321298109833,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.9999999999999991,0.8939622357064784,0.10603776429352074,0.20956223570647892,131.9130155139719,5000,5000,0,2,32,5000,5000,156,157,156,157,[157-157-157-157-157-157-157-157-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156-156]
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.9999999999999991,0.6843999999999995,0.31559999999999966,0.6843999999999995,148.21880374196917,5000,5000,0,,,,,,,,,
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.9999999999999996,0.9646976000000007,0.035302399999998846,0.29029760000000104,38.81919129000744,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.9999999999999996,0.9560904533333334,0.04390954666666613,0.28169045333333376,407.9461898049922,5000,4850,150,2,8,5000,4850,625,625,500,625,[625-625-625-625-625-500-625-600]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.9999999999999996,0.966536,0.033463999999999605,0.2921360000000003,358.4006375170429,5000,4900,100,2,8,5000,4900,500,750,400,750,[750-750-750-750-500-400-500-500]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.9999999999999996,0.9676320000000003,0.032367999999999286,0.2932320000000006,31.603357382991817,5000,5000,0,2,8,5000,5000,500,750,500,750,[750-750-750-750-500-500-500-500]
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.9999999999999996,0.6743999999999997,0.3255999999999999,0.6743999999999997,173.27319965901552,5000,5000,0,,,,,,,,,
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.9999999999999992,0.9687526400000004,0.031247359999998836,0.28155264000000346,38.802113086974714,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.9999999999999992,0.9801246513131331,0.019875348686866134,0.29292465131313616,329.9356409069733,5000,4750,250,2,8,5000,4750,625,625,450,625,[550-450-625-625-625-625-625-625]
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.9999999999999992,0.9752582379581921,0.024741762041807114,0.2880582379581952,390.60481086798245,5000,5000,0,2,8,5000,5000,446,804,446,804,[446-446-446-446-804-804-804-804]
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.9999999999999992,0.9755203801619711,0.024479619838028155,0.28832038016197414,31.083592021022923,5000,5000,0,2,8,5000,5000,446,804,446,804,[446-446-446-446-804-804-804-804]
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,noisy_vanilla,5000,aer.fake_torino,0.9999999999999992,0.6871999999999969,0.3128000000000023,0.6871999999999969,163.22711117804283,5000,5000,0,,,,,,,,,
6_Clifford+T_022,15,ZIIIIIIIIIIIIII,cut_divided_budget,5000,aer.fake_torino,0.0,0.00919295999999997,0.00919295999999997,0.023192959999999943,42.55656205699779,5000,5000,0,2,8,5000,5000,625,625,625,625,[625-625-625-625-625-625-625-625]
6_Clifford+T_022,15,ZIIIIIIIIIIIIII,cut_incremental_budget,5000,aer.fake_torino,0.0,-0.0004036266666666683,0.0004036266666666683,0.013596373333333304,384.8500158400275,5000,4675,325,2,8,5000,4675,625,625,450,625,[450-500-600-625-625-625-625-625]
6_Clifford+T_022,15,ZIIIIIIIIIIIIII,cut_incremental_qubit_prop,5000,aer.fake_torino,0.0,0.021071771188898563,0.021071771188898563,0.03507177118889854,421.0296865120181,5000,5000,0,2,8,5000,5000,446,804,446,804,[446-446-446-446-804-804-804-804]
6_Clifford+T_022,15,ZIIIIIIIIIIIIII,cut_qubit_prop,5000,aer.fake_torino,0.0,0.003675568346607777,0.003675568346607777,0.01767556834660775,31.619517158018425,5000,5000,0,2,8,5000,5000,446,804,446,804,[446-446-446-446-804-804-804-804]
