circuit_name,circuit_qubits,observable,mode,budget,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_003,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.0,0.0039000000000000215,0.0039000000000000215,0.0039000000000000215,64.89104796946049,20000,20000,0,,,,,,,,,
1_Clifford+T_009,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999992,0.6815999999999962,0.318400000000003,0.6815999999999962,8.31006052903831,20000,20000,0,,,,,,,,,
2_Clifford+T_011,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999993,0.6815999999999985,0.3184000000000008,0.6815999999999985,12.21446625329554,20000,20000,0,,,,,,,,,
3_Clifford+T_015,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999991,0.6902999999999995,0.30969999999999964,0.6902999999999995,10.832685746252537,20000,20000,0,,,,,,,,,
4_Clifford+T_016,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999996,0.6819999999999992,0.3180000000000004,0.6819999999999992,6.923487403430045,20000,20000,0,,,,,,,,,
5_Clifford+T_018,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999992,0.6911999999999958,0.3088000000000034,0.6911999999999958,6.861304521560669,20000,20000,0,,,,,,,,,
6_Clifford+T_022,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.0,0.011999999999999945,0.011999999999999945,0.011999999999999945,5.028613948263228,20000,20000,0,,,,,,,,,
7_Clifford+T_023,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999989,0.6826999999999976,0.31730000000000125,0.6826999999999976,5.245470697060227,20000,20000,0,,,,,,,,,
8_Clifford+T_024,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.0,-0.0023000000000000147,0.0023000000000000147,0.0023000000000000147,4.9303901037201285,20000,20000,0,,,,,,,,,
9_Clifford+T_026,15,ZIIIIIIIIIIIIII,noisy_vanilla,20000,aer.fake_kyoto,0.9999999999999996,0.6902999999999992,0.3097000000000003,0.6902999999999992,4.586373372003436,20000,20000,0,,,,,,,,,
