circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_004,7,ZIIIIII,cut_divided_budget,aer.fake_torino,5.551115123125783e-17,0.042826239999999995,0.04282623999999994,0.02102624000000001,89.40003285207786,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_004,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,5.551115123125783e-17,0.1472,0.14719999999999994,0.1254,738.2021770569263,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
0_Clifford+T_004,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,5.551115123125783e-17,0.1472,0.14719999999999994,0.1254,760.1042534130393,20000,14400,5600,2,32,20000,14400,556,694,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
0_Clifford+T_004,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,5.551115123125783e-17,0.08575041983704108,0.08575041983704103,0.0639504198370411,88.00949476193637,20000,20000,0,2,32,20000,20000,556,694,556,694,[556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694]
0_Clifford+T_004,7,ZIIIIII,noisy_vanilla,aer.fake_torino,5.551115123125783e-17,0.021799999999999986,0.02179999999999993,0.021799999999999986,3.616522008087486,20000,20000,0,,,,,,,,,
1_Clifford+T_022,7,ZIIIIII,cut_divided_budget,aer.fake_torino,0.0,0.0432000000000001,0.0432000000000001,0.024700000000000007,84.52095365698915,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
1_Clifford+T_022,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,0.0,1.4460654895742666e-16,1.4460654895742666e-16,0.018499999999999947,816.230872382992,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
1_Clifford+T_022,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.0,1.4460654895742666e-16,1.4460654895742666e-16,0.018499999999999947,735.0925127069931,20000,14400,5600,2,32,20000,14400,556,694,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
1_Clifford+T_022,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,0.0,-0.017291066282420654,0.017291066282420654,0.03579106628242075,77.72144088696223,20000,20000,0,2,32,20000,20000,556,694,556,694,[556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694]
1_Clifford+T_022,7,ZIIIIII,noisy_vanilla,aer.fake_torino,0.0,0.018500000000000093,0.018500000000000093,0.018500000000000093,2.4605306109879166,20000,20000,0,,,,,,,,,
2_QuantumVolume_042,7,ZIIIIII,cut_divided_budget,aer.fake_torino,0.43512625325002796,0.37940224,0.05572401325002796,0.07580224000000013,398.8528850598959,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
2_QuantumVolume_042,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,0.43512625325002796,0.5912000000000002,0.1560737467499722,0.2876000000000003,823.7799750539707,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
2_QuantumVolume_042,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.43512625325002796,0.5820143884892087,0.14688813523918076,0.27841438848920885,725.7396901430329,20000,13872,6128,2,32,20000,13872,417,833,417,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-417-417-417-417-417-417-417-417-417-417-417-417-417-417-417-417]
2_QuantumVolume_042,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,0.43512625325002796,0.39842699669795967,0.03669925655206829,0.0948269966979598,92.95633596403059,20000,20000,0,2,32,20000,20000,417,833,417,833,[833-833-833-833-833-833-833-833-833-833-833-833-833-833-833-833-417-417-417-417-417-417-417-417-417-417-417-417-417-417-417-417]
2_QuantumVolume_042,7,ZIIIIII,noisy_vanilla,aer.fake_torino,0.43512625325002796,0.30359999999999987,0.1315262532500281,0.30359999999999987,4.590215902077034,20000,20000,0,,,,,,,,,
